"UserId","Intial Claim","Agreement Time","Questions","Num of Rejection","User Points","Claims","Time of Claim","initially unclaimed"
"1","21","100","0","0","26","21- 24","75- 95","4- 1- 1- 5","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like shipments of spices more than shipments of bananas?- Do you like bars of iron more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?- Do you like shipments of bananas more than shipments of spices?","20- 20","5- 95"
"2","19","505","2","2","31","19- 32- 12- 20- 31- 30- 34- 34- 32","90- 175- 205- 225- 280- 340- 370- 405- 495","0- 1- 3- 5","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like shipments of spices more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?","20- 2- 2- 7- 11- 13- 13- 13- 13","5- 90- 175- 225- 280- 340- 370- 405- 420"
"3","0","270","2","1","34","0- 17- 22- 22- 25","45- 165- 225- 240- 265","5- 5- 5- 5","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like bars of iron more than shipments of bananas?- what do you like the least?","2- 2- 31- 31","45- 165- 240- 265"
"4","21","305","0","0","29","21- 27","240- 300","2- 3- 3- 3","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like shipments of spices more than shipments of bananas?- Do you like bars of iron more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?- Do you like shipments of bananas more than shipments of spices?","20","5"
"5","14","580","0","0","30","14- 16","185- 330","5- 1- 3- 5","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like shipments of spices more than shipments of bananas?- Do you like bars of iron more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?- Do you like shipments of bananas more than shipments of spices?","20- 24","5- 575"
"6","21","200","1","1","30","21- 28","150- 195","2- 3- 3- 3","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of spices more than shipments of bananas?- Do you like bars of iron more than shipments of bananas?- what do you like the least?- Do you like shipments of bananas more than shipments of spices?","20","5"
"7","13","270","1","2","27","13- 24- 24- 25","140- 190- 210- 265","2- 3- 3- 5","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like shipments of spices more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?","20- 22- 24","5- 155- 210"
"8","15","375","0","0","33","15- 28","205- 365","1- 1- 4- 5","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like shipments of spices more than shipments of bananas?- Do you like bars of iron more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?- Do you like shipments of bananas more than shipments of spices?","20- 25","5- 365"
"9","32","400","2","2","29","32- 28- 12- 28- 19- 23- 27","165- 230- 255- 320- 350- 375- 395","2- 2- 0- 3","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like bars of iron more than shipments of bananas?- what do you like the least?","20- 2- 2- 11- 11","5- 165- 230- 320- 350"
"10","24","70","0","1","31","24","65","1- 2- 3- 3","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like shipments of spices more than shipments of bananas?- Do you like bars of iron more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?- Do you like shipments of bananas more than shipments of spices?","20","5"
"11","18","170","1","0","27","18","165","1- 3- 3- 4","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like shipments of spices more than shipments of bananas?- Do you like bars of iron more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?- Do you like shipments of bananas more than shipments of spices?","20- 2","5- 70"
"12","12","325","4","0","35","12- 40- 34- 36","80- 170- 235- 310","2- 2- 4- 5","Do you like bars of gold more than bars of iron?- Do you like bars of iron more than bars of gold?- Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- what do you like the most?- what do you like the least?","20- 25","5- 170"
"13","26","590","2","0","31","26- 30- 31","325- 430- 570","2- 2- 2- 3","Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like bars of iron more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?","20- 22","15- 575"
"14","27","490","2","0","33","27- 31- 31- 33- 35","160- 275- 335- 405- 480","1- 2- 2- 3","Do you like shipments of spices more than bars of gold?- Do you like bars of gold more than shipments of spices?- do you like bars of iron more than shipments of spices?- Do you like shipments of bananas more than bars of iron?- Do you like shipments of spices more than bars of iron?- what do you like the most?- Do you like shipments of bananas more than bars of gold?- Do you like bars of iron more than shipments of bananas?- Do you like bars of gold more than shipments of bananas?- what do you like the least?","20- 2","5- 160"
